# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             199   N   000007ac   ff5ff06f   000007ae   x17_a7     0000168f
             200   N   000007ae   08851717   000007a2   ---        --------
             205   N   000007a2   0000c791   000007a6   x15_a5     00000020
             206   N   000007a6   00f82023   000007a8   ---        --------
             208   N   000007a8   00000885   000007ac   ---        --------
             209   N   000007ac   ff5ff06f   000007ae   x17_a7     00001690
             210   N   000007ae   08851717   000007a2   ---        --------
             215   N   000007a2   0000c791   000007a6   x15_a5     00000020
             216   N   000007a6   00f82023   000007a8   ---        --------
             218   N   000007a8   00000885   000007ac   ---        --------
             219   N   000007ac   ff5ff06f   000007ae   x17_a7     00001691
             220   N   000007ae   08851717   000007a2   ---        --------
             225   N   000007a2   0000c791   000007a6   x15_a5     00000020
             226   N   000007a6   00f82023   000007a8   ---        --------
             228   N   000007a8   00000885   000007ac   ---        --------
             229   N   000007ac   ff5ff06f   000007ae   x17_a7     00001692
             230   N   000007ae   08851717   000007a2   ---        --------
             235   N   000007a2   0000c791   000007a6   x15_a5     00000020
             236   N   000007a6   00f82023   000007a8   ---        --------
             238   N   000007a8   00000885   000007ac   ---        --------
             239   N   000007ac   ff5ff06f   000007ae   x17_a7     00001693
             240   N   000007ae   08851717   000007a2   ---        --------
             245   N   000007a2   0000c791   000007a6   x15_a5     00000020
             246   N   000007a6   00f82023   000007a8   ---        --------
             248   N   000007a8   00000885   000007ac   ---        --------
             249   N   000007ac   ff5ff06f   000007ae   x17_a7     00001694
             250   N   000007ae   08851717   000007a2   ---        --------
             255   N   000007a2   0000c791   000007a6   x15_a5     00000020
             256   N   000007a6   00f82023   000007a8   ---        --------
             258   N   000007a8   00000885   000007ac   ---        --------
             259   N   000007ac   ff5ff06f   000007ae   x17_a7     00001695
             260   N   000007ae   08851717   000007a2   ---        --------
             265   N   000007a2   0000c791   000007a6   x15_a5     00000020
             266   N   000007a6   00f82023   000007a8   ---        --------
             268   N   000007a8   00000885   000007ac   ---        --------
             269   N   000007ac   ff5ff06f   000007ae   x17_a7     00001696
             270   N   000007ae   08851717   000007a2   ---        --------
             275   N   000007a2   0000c791   000007a6   x15_a5     00000020
             276   N   000007a6   00f82023   000007a8   ---        --------
             278   N   000007a8   00000885   000007ac   ---        --------
             279   N   000007ac   ff5ff06f   000007ae   x17_a7     00001697
             280   N   000007ae   08851717   000007a2   ---        --------
             285   N   000007a2   0000c791   000007a6   x15_a5     00000020
